,Row Id,Sequence #,Account Id,Server Time,Unit Time,Latitude,Longitude,Driver Name,Event Name,Raw Event,GPS Speed,ECU Speed,Address,Landmark ID,Satellites,Distance,HDOP,VDOP,RSSI,Engine Hours,Engine Hours + Off,ECU Engine Hours,ECU Engine Hours + Off,Engine Odometer,Engine Odometer + Off,ECU Engine Odometer,ECU Engine Odometer + Off,Battery Level,Raw Data
356,1772057256000,709,26305,2026/02/25 17:07:37,2026/02/25 17:07:36,3.4651544094085693,-76.52570343017578,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,12,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902c508694870627247104c00260225220736e5348144290d99c217c55d40000000840020050050001eff420000012fab0604001e000004b00000000010f280000000ffd5
357,1772057227000,708,26305,2026/02/25 17:07:07,2026/02/25 17:07:07,3.4651544094085693,-76.52570343017578,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,12,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902c408694870627247104c00260225220707e5348144290d99c217c55d40000000840020050050001eff420000012fab04f4001e000004b00000000010f280000000ffd5
358,1772057197000,707,26305,2026/02/25 17:06:37,2026/02/25 17:06:37,3.4651544094085693,-76.52570343017578,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,13,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902c308694870627247104d00260225220637e5348144290d99c217c55d40000000840080018050001dff420000012fab0644001e000004b00000000010f280000000ffd5
359,1772057167000,706,26305,2026/02/25 17:06:08,2026/02/25 17:06:07,3.4651544094085693,-76.52570343017578,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,12,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902c208694870627247104c00260225220607e5348144290d99c217c55d40000000840080018050001dff420000012fab0604001e000004b00000000010f280000000ffd5
360,1772057137000,705,26305,2026/02/25 17:05:38,2026/02/25 17:05:37,3.4651544094085693,-76.52570343017578,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,13,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902c108694870627247104d00260225220537e5348144290d99c217c55d40000000840080018050001dff420000012fab0604001e000004b00000000010f280000000ffd5
361,1772057107000,704,26305,2026/02/25 17:05:08,2026/02/25 17:05:07,3.4651544094085693,-76.52570343017578,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,13,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902c008694870627247104d00260225220507e5348144290d99c217c55d40000000848050070020001dff420000012fab0644001e000004b00000000010f280000000ffd5
362,1772057076000,703,26305,2026/02/25 17:04:37,2026/02/25 17:04:36,3.4651544094085693,-76.52570343017578,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,13,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902bf08694870627247104d00260225220436e5348144290d99c217c55d40000000848098008000001dff420000012fab0564001e000004b00000000010f280000000ffd5
363,1772057048000,702,26305,2026/02/25 17:04:08,2026/02/25 17:04:08,3.4651544094085693,-76.52570343017578,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,13,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902be08694870627247104d00260225220408e5348144290d99c217c55d40000000848098008000001dff420000012fab0644001e000004b00000000010f280000000ffd5
364,1772057017000,701,26305,2026/02/25 17:03:38,2026/02/25 17:03:37,3.4651544094085693,-76.52570343017578,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,13,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902bd08694870627247104d00260225220337e5348144290d99c217c55d40000000848098008000001dff420000012fab0594001e000004b00000000010f280000000ffd5
365,1772056986000,700,26305,2026/02/25 17:03:07,2026/02/25 17:03:06,3.4651544094085693,-76.52570343017578,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,13,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902bc08694870627247104d00260225220306e5348144290d99c217c55d40000000848038028090001dff420000012fab0594001e000004b00000000010f280000000ffd5
366,1772056957000,699,26305,2026/02/25 17:02:37,2026/02/25 17:02:37,3.4651544094085693,-76.52570343017578,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,12,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902bb08694870627247104c00260225220237e5348144290d99c217c55d40000000848028028090001cff420000012fab0604001e000004b00000000010f280000000ffd5
367,1772056927000,698,26305,2026/02/25 17:02:07,2026/02/25 17:02:07,3.4651544094085693,-76.52570343017578,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,10,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902ba08694870627247104a00260225220207e5348144290d99c217c55d40000000848020010090001cff420000012fab0524001e000004b00000000010f280000000ffd5
368,1772056897000,697,26305,2026/02/25 17:01:38,2026/02/25 17:01:37,3.4651544094085693,-76.52570343017578,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,11,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902b908694870627247104b00260225220137e5348144290d99c217c55d40000000848020010090001cff420000012fab0604001e000004b00000000010f280000000ffd5
370,1772056793000,696,26305,2026/02/25 16:59:56,2026/02/25 16:59:53,3.4651544094085693,-76.52570343017578,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,11,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902b808694870627247104b00260225215953e5348144290d99c217c55d40000000848098000000001dff420000012fab0644001e000004b00000000010f280000000ffd5
371,1772056764000,695,26305,2026/02/25 16:59:26,2026/02/25 16:59:24,3.4651544094085693,-76.52570343017578,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,11,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902b708694870627247104b00260225215924e5348144290d99c217c55d40000000848098000000001dff420000012fab0644001e000004b00000000010f280000000ffd5
372,1772056734000,694,26305,2026/02/25 16:58:57,2026/02/25 16:58:54,3.4651544094085693,-76.52570343017578,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,12,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902b608694870627247104c00260225215854e5348144290d99c217c55d40000000848098000000001dff420000012fab0644001e000004b00000000010f280000000ffd5
373,1772056704000,693,26305,2026/02/25 16:58:27,2026/02/25 16:58:24,3.4651544094085693,-76.52570343017578,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,11,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902b508694870627247104b00260225215824e5348144290d99c217c55d40000000848098008000001cff420000012fab0644001e000004b00000000010f280000000ffd5
374,1772056674000,692,26305,2026/02/25 16:57:57,2026/02/25 16:57:54,3.4651544094085693,-76.52570343017578,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,12,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902b408694870627247104c00260225215754e5348144290d99c217c55d40000000848098008000001cff420000012fab05d4001e000004b00000000010f280000000ffd5
375,1772056644000,691,26305,2026/02/25 16:57:27,2026/02/25 16:57:24,3.4651544094085693,-76.52570343017578,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,13,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902b308694870627247104d00260225215724e5348144290d99c217c55d40000000848068048060001cff420000012fab0644001e000004b00000000010f280000000ffd5
377,1772055502000,687,26305,2026/02/25 16:38:23,2026/02/25 16:38:22,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,9,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902af086948706272471049002602252138226f3a7c44490d99c2a7c45d40000000488098008000001eff420000012f9005d4001e000004b00000000010f280000000ffd5
378,1772055472000,686,26305,2026/02/25 16:37:53,2026/02/25 16:37:52,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,9,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902ae086948706272471049002602252137526f3a7c44490d99c2a7c45d40000000488098008000001eff420000012f900644001e000004b00000000010f280000000ffd5
379,1772055442000,685,26305,2026/02/25 16:37:23,2026/02/25 16:37:22,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,9,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902ad086948706272471049002602252137226f3a7c44490d99c2a7c45d40000000488098008000001eff420000012f900644001e000004b00000000010f280000000ffd5
380,1772055412000,684,26305,2026/02/25 16:36:53,2026/02/25 16:36:52,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,9,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902ac086948706272471049002602252136526f3a7c44490d99c2a7c45d40000000488028018090001eff420000012f900644001e000004b00000000010f280000000ffd5
381,1772055382000,683,26305,2026/02/25 16:36:23,2026/02/25 16:36:22,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,10,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902ab08694870627247104a002602252136226f3a7c44490d99c2a7c45d40000000488028018090001dff420000012f900594001e000004b00000000010f280000000ffd5
382,1772055352000,682,26305,2026/02/25 16:35:53,2026/02/25 16:35:52,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,10,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902aa08694870627247104a002602252135526f3a7c44490d99c2a7c45d40000000488058038070001dff420000012f900644001e000004b00000000010f280000000ffd5
383,1772055322000,681,26305,2026/02/25 16:35:23,2026/02/25 16:35:22,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,10,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902a908694870627247104a002602252135226f3a7c44490d99c2a7c45d40000000488058038070001dff420000012f900644001e000004b00000000010f280000000ffd5
384,1772055292000,680,26305,2026/02/25 16:34:53,2026/02/25 16:34:52,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,6,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902a8086948706272471046002602252134526f3a7c44490d99c2a7c45d40000000488048048070001dff420000012f9005d4001e000004b00000000010f280000000ffd5
385,1772055262000,679,26305,2026/02/25 16:34:23,2026/02/25 16:34:22,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,7,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902a7086948706272471047002602252134226f3a7c44490d99c2a7c45d40000000488048048070001bff420000012f900524001e000004b00000000010f280000000ffd5
386,1772055232000,678,26305,2026/02/25 16:33:53,2026/02/25 16:33:52,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,10,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902a608694870627247104a002602252133526f3a7c44490d99c2a7c45d40000000488058038070001bff420000012f900594001e000004b00000000010f280000000ffd5
387,1772055202000,677,26305,2026/02/25 16:33:23,2026/02/25 16:33:22,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,9,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902a5086948706272471049002602252133226f3a7c44490d99c2a7c45d40000000488058038070001bff420000012f900564001e000004b00000000010f280000000ffd5
388,1772055172000,676,26305,2026/02/25 16:32:53,2026/02/25 16:32:52,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,10,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902a408694870627247104a002602252132526f3a7c44490d99c2a7c45d40000000488038018090001bff420000012f900644001e000004b00000000010f280000000ffd5
389,1772055142000,675,26305,2026/02/25 16:32:22,2026/02/25 16:32:22,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,10,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902a308694870627247104a002602252132226f3a7c44490d99c2a7c45d40000000488038018090001bff420000012f900644001e000004b00000000010f280000000ffd5
390,1772055111000,674,26305,2026/02/25 16:31:51,2026/02/25 16:31:51,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,10,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,272702004902a208694870627247104a002602252131516f3a7c44490d99c2a7c45d40000000488040078050001bff420000012f900644001e000004b00000000010f280000000ffd5
393,1772055045000,673,26305,2026/02/25 16:30:46,2026/02/25 16:30:45,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,10,0.0,,,,0,0,0,0,48.3,48.3,0,0,99,272702004902a108694870627247104a002602252130456f3a7c44490d99c2a7c45d40000000480000098000991bff420000012f908644001e000004b00000000010f280000000ffd5
394,1772055014000,672,26305,2026/02/25 16:30:15,2026/02/25 16:30:14,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,10,0.0,,,,0,0,0,0,48.3,48.3,0,0,99,272702004902a008694870627247104a002602252130146f3a7c44490d99c2a7c45d40000000480000098000991aff420000012f9085d4001e000004b00000000010f280000000ffd5
395,1772054985000,671,26305,2026/02/25 16:29:45,2026/02/25 16:29:45,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,12,0.0,,,,0,0,0,0,48.3,48.3,0,0,99,2727020049029f08694870627247104c002602252129456f3a7c44490d99c2a7c45d40000000480000098000991aff420000012f9085d4001e000004b00000000010f280000000ffd5
396,1772054955000,670,26305,2026/02/25 16:29:15,2026/02/25 16:29:15,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,12,0.0,,,,0,0,0,0,48.3,48.3,0,0,99,2727020049029e08694870627247104c002602252129156f3a7c44490d99c2a7c45d40000000480000098000991aff420000012f908604001e000004b00000000010f280000000ffd5
397,1772054925000,669,26305,2026/02/25 16:28:46,2026/02/25 16:28:45,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,9,0.0,,,,0,0,0,0,48.3,48.3,0,0,99,2727020049029d086948706272471049002602252128456f3a7c44490d99c2a7c45d40000000480000098000991aff420000012f908604001e000004b00000000010f280000000ffd5
400,1772054404000,668,26305,2026/02/25 16:20:06,2026/02/25 16:20:04,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,9,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,2727020049029c086948706272471049002602252120046f3a7c44490d99c2a7c45d40000000480008008100001aff420000012f9005d4001e000004b00000000010f280000000ffd5
401,1772054374000,667,26305,2026/02/25 16:19:36,2026/02/25 16:19:34,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,10,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,2727020049029b08694870627247104a002602252119346f3a7c44490d99c2a7c45d40000000480008008090001aff420000012f9005d4001e000004b00000000010f280000000ffd5
402,1772054344000,666,26305,2026/02/25 16:19:06,2026/02/25 16:19:04,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,9,0.0,,,,0,0,0,0,48.3,48.3,0,0,100,2727020049029a086948706272471049002602252119046f3a7c44490d99c2a7c45d40000000480008008090001aff420000012f900644001e000004b00000000010f280000000ffd5
404,1772045191000,657,26305,2026/02/25 13:46:33,2026/02/25 13:46:31,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,12,0.1,,,,0,0,0,0,48.3,48.3,0,0,100,2727020049029108694870627247104c002602251846316f3a7c44490d99c2a7c45d400000004800080080900020ff420000012f900644001e000004b00000000010f280000000ffd5
405,1772045161000,656,26305,2026/02/25 13:46:03,2026/02/25 13:46:01,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,12,0.1,,,,0,0,0,0,48.3,48.3,0,0,100,2727020049029008694870627247104c002602251846016f3a7c44490d99c2a7c45d400000004800080080900020ff420000012f900644001e000004b00000000010f280000000ffd5
406,1772045132000,655,26305,2026/02/25 13:45:33,2026/02/25 13:45:32,3.46512770652771,-76.52594757080078,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,8,0.1,,,,0,0,0,0,48.3,48.3,0,0,100,2727020049028f086948706272471048002602251845326f3a7c44490d99c2a7c45d400000004800080080900020ff420000012f900644001e000004b00000000010f280000000ffd5
407,1772045012000,651,26305,2026/02/25 13:43:33,2026/02/25 13:43:32,3.4649314880371094,-76.52608489990234,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,0.1,,,,0,0,0,0,48.3,48.3,0,0,100,2727020049028b08694870627247104e0026022518433212237c445b0d99c270c15d400000014080000180900020ff420000012f710484001e000004b00000000010f280000000ffd5
408,1772044982000,650,26305,2026/02/25 13:43:04,2026/02/25 13:43:02,3.4649314880371094,-76.52608489990234,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,0.1,,,,0,0,0,0,48.3,48.3,0,0,100,2727020049028a08694870627247104e0026022518430212237c445b0d99c270c15d400000014080000180900020ff420000012f710644001e000004b00000000010f280000000ffd5
409,1772044951000,649,26305,2026/02/25 13:42:33,2026/02/25 13:42:31,3.4649314880371094,-76.52608489990234,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,0.1,,,,0,0,0,0,48.3,48.3,0,0,100,2727020049028908694870627247104e0026022518423112237c445b0d99c270c15d400000014080500680300020ff420000012f710644001e000004b00000000010f280000000ffd5
410,1772044922000,648,26305,2026/02/25 13:42:03,2026/02/25 13:42:02,3.4649314880371094,-76.52608489990234,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,0.1,,,,0,0,0,0,48.3,48.3,0,0,100,2727020049028808694870627247104e0026022518420212237c445b0d99c270c15d400000014080500680300020ff420000012f710644001e000004b00000000010f280000000ffd5
411,1772044892000,647,26305,2026/02/25 13:41:33,2026/02/25 13:41:32,3.4649314880371094,-76.52608489990234,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,0.1,,,,0,0,0,0,48.3,48.3,0,0,100,2727020049028708694870627247104e0026022518413212237c445b0d99c270c15d400000014000600980800020ff420000012f710594001e000004b00000000010f280000000ffd5
412,1772044861000,646,26305,2026/02/25 13:41:02,2026/02/25 13:41:01,3.4646713733673096,-76.52609252929688,,Motion,02-M,0.0,,"Avenida 4 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,0.1,,,,0,0,0,0,48.3,48.3,0,0,100,2727020049028608694870627247104e00260225184101e5d87b445c0d99c22dbd5d400000002200600980800020ff420000012f540644001e000004b00000000010f280000000ffd5
413,1772044831000,645,26305,2026/02/25 13:40:32,2026/02/25 13:40:31,3.4645345211029053,-76.52616119384766,,Motion,02-M,0.0,,"Avenida 4 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,0.1,,,,0,0,0,0,48.3,48.3,0,0,100,2727020049028508694870627247104e002602251840313daa7b44650d99c2efba5d400000001c80780680800020ff420000012f430644001e000004b00000000010f280000000ffd5
414,1772044802000,644,26305,2026/02/25 13:40:03,2026/02/25 13:40:02,3.4645743370056152,-76.52645874023438,,Motion,02-M,0.0,,"Avenida 4 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,13,0.0,,,,0,0,0,0,48.2,48.2,0,0,100,2727020049028408694870627247104d00260225184002acf47a448c0d99c296bb5d400000006780780680800020ff420000012f220524001e000004b00000000010f280000000ffd5
415,1772044761000,643,26305,2026/02/25 13:39:22,2026/02/25 13:39:21,3.4641270637512207,-76.52674102783203,,Motion,02-M,3.11,,"Calle 23A Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,13,0.0,,,,0,0,0,0,48.2,48.2,0,0,100,2727020049028308694870627247104d00260225183921bc247a44b10d99c242b45d400050002f00100180800020ff420000012ee50644001e000004b00000000010f280000000ffd5
416,1772044741000,642,26305,2026/02/25 13:39:02,2026/02/25 13:39:01,3.4641616344451904,-76.5267562866211,,Motion,02-M,0.0,,"Calle 23A Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,13,0.0,,,,0,0,0,0,48.2,48.2,0,0,100,2727020049028208694870627247104d002602251839010e4d7b44b30d99c2d3b45d40000000cf00100180800020ff420000012ee10594001e000004b00000000010f280000000ffd5
417,1772044712000,641,26305,2026/02/25 13:38:33,2026/02/25 13:38:32,3.4641616344451904,-76.5267562866211,,Motion,02-M,0.0,,"Calle 23A Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,12,0.0,,,,0,0,0,0,48.2,48.2,0,0,100,2727020049028108694870627247104c002602251838320e4d7b44b30d99c2d3b45d40000000cf80000480800020ff420000012ee105d4001e000004b00000000010f280000000ffd5
418,1772044682000,640,26305,2026/02/25 13:38:03,2026/02/25 13:38:02,3.4641616344451904,-76.5267562866211,,Motion,02-M,0.0,,"Calle 23A Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,12,0.0,,,,0,0,0,0,48.2,48.2,0,0,100,2727020049028008694870627247104c002602251838020e4d7b44b30d99c2d3b45d40000000cf80000480800020ff420000012ee10594001e000004b00000000010f280000000ffd5
419,1772044652000,639,26305,2026/02/25 13:37:33,2026/02/25 13:37:32,3.4641616344451904,-76.5267562866211,,Motion,02-M,0.0,,"Calle 23A Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,12,0.0,,,,0,0,0,0,48.2,48.2,0,0,100,2727020049027f08694870627247104c002602251837320e4d7b44b30d99c2d3b45d40000000cf80680780200020ff420000012ee10604001e000004b00000000010f280000000ffd5
420,1772044622000,638,26305,2026/02/25 13:37:04,2026/02/25 13:37:02,3.4641616344451904,-76.5267562866211,,Motion,02-M,0.0,,"Calle 23A Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,10,0.0,,,,0,0,0,0,48.2,48.2,0,0,100,2727020049027e08694870627247104a002602251837020e4d7b44b30d99c2d3b45d40000000cf80680780200020ff420000012ee10644001e000004b00000000010f280000000ffd5
421,1772044591000,637,26305,2026/02/25 13:36:33,2026/02/25 13:36:31,3.4641616344451904,-76.5267562866211,,Motion,02-M,0.0,,"Calle 23A Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,9,0.0,,,,0,0,0,0,48.2,48.2,0,0,100,2727020049027d086948706272471049002602251836310e4d7b44b30d99c2d3b45d40000000cf8020068070001fff420000012ee10604001e000004b00000000010f280000000ffd5
422,1772044562000,636,26305,2026/02/25 13:36:03,2026/02/25 13:36:02,3.4641616344451904,-76.5267562866211,,Motion,02-M,0.0,,"Calle 23A Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,13,0.0,,,,0,0,0,0,48.2,48.2,0,0,100,2727020049027c08694870627247104d002602251836020e4d7b44b30d99c2d3b45d40000000cf8020068070001fff420000012ee10594001e000004b00000000010f280000000ffd5
423,1772044532000,635,26305,2026/02/25 13:35:33,2026/02/25 13:35:32,3.4641616344451904,-76.5267562866211,,Motion,02-M,0.0,,"Calle 23A Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,13,0.0,,,,0,0,0,0,48.2,48.2,0,0,100,2727020049027b08694870627247104d002602251835320e4d7b44b30d99c2d3b45d40000000cf8060068020001fff420000012ee10644001e000004b00000000010f280000000ffd5
424,1772044502000,634,26305,2026/02/25 13:35:03,2026/02/25 13:35:02,3.4641616344451904,-76.5267562866211,,Motion,02-M,0.0,,"Calle 23A Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,13,0.0,,,,0,0,0,0,48.2,48.2,0,0,100,2727020049027a08694870627247104d002602251835020e4d7b44b30d99c2d3b45d40000000cf8060068020001fff420000012ee105d4001e000004b00000000010f280000000ffd5
425,1772044472000,633,26305,2026/02/25 13:34:33,2026/02/25 13:34:32,3.4641616344451904,-76.5267562866211,,Motion,02-M,0.0,,"Calle 23A Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,13,0.0,,,,0,0,0,0,48.2,48.2,0,0,100,2727020049027908694870627247104d002602251834320e4d7b44b30d99c2d3b45d40000000cf8068068040001fff420000012ee105d4001e000004b00000000010f280000000ffd5
