,Message
7360,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,31.1,257,1316.3,-74.428536,4.950435,20260310122150,0732,0101,1A93,6108177,04,12,119449.1,05743:14:50,,,100,220100,,,,20260310122155,8921$"
7361,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,29.4,314,1307.5,-74.429719,4.950423,20260310122205,0732,0101,1A93,6108758,04,12,119449.2,05743:15:05,,,100,220100,,,,20260310122210,8922$"
7362,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,12.0,347,1303.4,-74.429885,4.950831,20260310122214,0732,0101,1A93,6108758,04,12,119449.2,05743:15:15,,,100,220100,,,,20260310122221,8923$"
7363,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,15.8,295,1293.9,-74.431060,4.952280,20260310122250,0732,0101,1A93,6108758,04,12,119449.4,05743:15:50,,,100,220100,,,,20260310122255,8924$"
7364,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,17.2,242,1291.6,-74.431383,4.952161,20260310122259,0732,0101,1A93,6108177,04,12,119449.5,05743:16:00,,,100,220100,,,,20260310122304,8925$"
7365,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,40.9,234,1279.9,-74.432192,4.951222,20260310122314,0732,0101,1A93,6108758,04,12,119449.6,05743:16:15,,,100,220100,,,,20260310122321,8926$"
7366,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,35.8,270,1277.3,-74.433061,4.950897,20260310122323,0732,0101,1A93,6108758,04,12,119449.7,05743:16:25,,,100,220100,,,,20260310122328,8927$"
7367,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,35.2,328,1279.0,-74.433522,4.951209,20260310122329,0732,0101,1A93,6108758,04,12,119449.8,05743:16:30,,,100,220100,,,,20260310122334,8928$"
7368,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,29.7,350,1274.8,-74.434302,4.951767,20260310122341,0732,0101,1A93,6108177,04,12,119449.9,05743:16:40,,,100,220100,,,,20260310122346,8929$"
7369,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,30.1,36,1274.0,-74.434233,4.951968,20260310122344,0732,0101,1A93,6108177,04,12,119449.9,05743:16:45,,,100,220100,,,,20260310122349,892A$"
7370,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,39.9,95,1274.0,-74.433723,4.952051,20260310122350,0732,0101,1A93,6108177,04,12,119450.0,05743:16:50,,,100,220100,,,,20260310122355,892B$"
7371,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,39.6,20,1271.2,-74.433051,4.952328,20260310122359,0732,0101,1A93,6108177,04,12,119450.1,05743:17:00,,,100,220100,,,,20260310122404,892C$"
7372,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,37.1,348,1262.9,-74.432602,4.953764,20260310122414,0732,0101,1A93,610BCAF,04,12,119450.3,05743:17:15,,,100,220100,,,,20260310122421,892D$"
7373,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,37.1,348,1262.9,-74.432602,4.953764,20260310122414,0732,0101,1A93,610BCAF,04,12,119450.3,05743:17:15,,,100,220100,,,,20260310122421,892D$"
7374,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,34.2,325,1260.0,-74.432726,4.953985,20260310122417,0732,0101,1A93,610BCAF,04,12,119450.3,05743:17:15,,,100,220100,,,,20260310122422,892E$"
7375,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,33.6,7,1250.6,-74.432994,4.954636,20260310122426,0732,0101,1A93,610BCAF,04,12,119450.4,05743:17:25,,,100,220100,,,,20260310122431,892F$"
7376,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,44.5,52,1247.0,-74.432645,4.955086,20260310122432,0732,0101,1A93,610BCAF,04,12,119450.4,05743:17:30,,,100,220100,,,,20260310122437,8930$"
7377,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,35.8,7,1237.8,-74.431534,4.956873,20260310122453,0732,0101,1A93,6108758,04,12,119450.7,05743:17:55,,,100,220100,,,,20260310122458,8931$"
7378,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,33.2,319,1235.3,-74.431641,4.957096,20260310122456,0732,0101,1A93,6103559,04,12,119450.7,05743:17:55,,,100,220100,,,,20260310122501,8932$"
7379,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,43.0,272,1231.5,-74.432214,4.957202,20260310122502,0732,0101,1A93,6108177,04,12,119450.8,05743:18:00,,,100,220100,,,,20260310122507,8933$"
7380,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,38.7,348,1222.9,-74.433080,4.957555,20260310122514,0732,0101,1A93,6108758,04,12,119450.9,05743:18:15,,,100,220100,,,,20260310122521,8934$"
7381,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,44.6,39,1218.0,-74.432963,4.959285,20260310122529,0732,0101,1A93,6108758,04,12,119451.1,05743:18:30,,,100,220100,,,,20260310122534,8935$"
7382,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,34.9,349,1215.8,-74.432856,4.959848,20260310122535,0732,0101,1A93,6108177,04,12,119451.2,05743:18:35,,,100,220100,,,,20260310122540,8936$"
7383,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,31.7,291,1195.5,-74.434322,4.961647,20260310122602,0732,0101,1A93,6103559,04,12,119451.4,05743:19:00,,,100,220100,,,,20260310122607,8937$"
7384,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,26.8,283,1185.6,-74.435312,4.961846,20260310122614,0732,0101,1A93,6103559,04,12,119451.5,05743:19:15,,,100,220100,,,,20260310122621,8938$"
7385,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,29.2,348,1184.1,-74.435418,4.962032,20260310122617,0732,0101,1A93,6103559,04,12,119451.6,05743:19:15,,,100,220100,,,,20260310122622,8939$"
7386,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,29.4,284,1169.3,-74.436448,4.963984,20260310122644,0732,0101,1A93,6103559,04,12,119451.8,05743:19:45,,,100,220100,,,,20260310122649,893A$"
7387,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,29.0,318,1161.3,-74.437307,4.964262,20260310122656,0732,0101,1A93,6103559,04,12,119451.9,05743:19:55,,,100,220100,,,,20260310122701,893B$"
7388,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,14.2,29,1160.2,-74.437275,4.964646,20260310122705,0732,0101,1A93,6103559,04,12,119452.0,05743:20:05,,,100,220100,,,,20260310122710,893C$"
7389,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,18.7,61,1164.8,-74.436935,4.964815,20260310122714,0732,0101,1A93,6103559,04,12,119452.0,05743:20:15,,,100,220100,,,,20260310122721,893D$"
7390,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,18.4,76,1170.4,-74.436555,4.964982,20260310122723,0732,0101,1A93,6103559,04,12,119452.1,05743:20:25,,,100,220100,,,,20260310122728,893E$"
7391,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,7.0,122,1182.8,-74.435540,4.964809,20260310122759,0732,0101,1A93,6103559,04,12,119452.2,05743:21:00,,,100,220100,,,,20260310122804,893F$"
7392,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,129,1183.2,-74.435488,4.964760,20260310122814,0732,0101,1A93,6103559,04,12,119452.2,05743:21:15,,,100,220100,,,,20260310122821,8940$"
7393,"+RESP:GTSTT,500700,868574042784996,,21,0,0.0,129,1183.2,-74.435488,4.964760,20260310122841,0732,0101,1A93,6103559,06,210100,12,20260310122847,8941$"
7394,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,129,1183.2,-74.435488,4.964760,20260310122914,0732,0101,1A93,6103559,04,12,119452.2,05743:22:15,,,100,210100,,,,20260310122921,8942$"
7395,"+RESP:GTSTT,500700,868574042784996,,22,0,0.0,129,1183.2,-74.435488,4.964760,20260310122944,0732,0101,1A93,6103559,06,220100,12,20260310122950,8943$"
7396,"+RESP:GTSTT,500700,868574042784996,,21,0,0.0,129,1185.8,-74.435461,4.964754,20260310123014,0732,0101,1A93,6103559,06,210100,12,20260310123020,8944$"
7397,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,129,1185.8,-74.435461,4.964754,20260310123014,0732,0101,1A93,6103559,04,12,119452.2,05743:23:15,,,100,210100,,,,20260310123021,8945$"
7398,"+RESP:GTSTT,500700,868574042784996,,22,0,0.0,129,1185.8,-74.435461,4.964754,20260310123057,0732,0101,1A93,6103559,06,220100,12,20260310123103,8946$"
7399,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,123,1188.0,-74.435401,4.964709,20260310123112,0732,0101,1A93,6103559,04,12,119452.2,05743:24:15,,,100,220100,,,,20260310123121,8947$"
7400,"+RESP:GTSTT,500700,868574042784996,,21,0,0.0,123,1188.0,-74.435401,4.964709,20260310123206,0732,0101,1A93,6103559,06,210100,12,20260310123213,8948$"
7401,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,123,1188.0,-74.435401,4.964709,20260310123212,0732,0101,1A93,6103559,04,12,119452.2,05743:25:15,,,100,210100,,,,20260310123221,8949$"
7402,"+RESP:GTSTT,500700,868574042784996,,22,0,0.0,123,1188.0,-74.435401,4.964709,20260310123248,0732,0101,1A93,6103559,06,220100,12,20260310123253,894A$"
7403,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,123,1188.0,-74.435401,4.964709,20260310123312,0732,0101,1A93,6103559,04,12,119452.2,05743:26:15,,,100,220100,,,,20260310123321,894B$"
7404,"+RESP:GTSTT,500700,868574042784996,,21,0,0.0,123,1188.0,-74.435401,4.964709,20260310123318,0732,0101,1A93,6103559,06,210100,12,20260310123324,894C$"
7405,"+RESP:GTSTT,500700,868574042784996,,22,0,0.0,123,1188.0,-74.435401,4.964709,20260310123339,0732,0101,1A93,6103559,06,220100,12,20260310123345,894D$"
7406,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,123,1188.0,-74.435401,4.964709,20260310123412,0732,0101,1A93,6103559,04,12,119452.2,05743:27:15,,,100,220100,,,,20260310123421,894E$"
7407,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,123,1188.0,-74.435401,4.964709,20260310123512,0732,0101,1A93,6103559,04,12,119452.2,05743:28:15,,,100,220100,,,,20260310123521,894F$"
7408,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,123,1188.0,-74.435401,4.964709,20260310123612,0732,0101,1A93,6103559,04,12,119452.2,05743:29:15,,,100,220100,,,,20260310123621,8950$"
7409,"+RESP:GTSTT,500700,868574042784996,,21,0,0.0,123,1188.0,-74.435401,4.964709,20260310123633,0732,0101,1A93,6103559,06,210100,12,20260310123640,8951$"
7410,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,123,1188.0,-74.435401,4.964709,20260310123712,0732,0101,1A93,6103559,04,12,119452.2,05743:30:15,,,100,210100,,,,20260310123722,8952$"
7411,"+RESP:GTSTT,500700,868574042784996,,22,0,0.0,123,1188.0,-74.435401,4.964709,20260310123740,0732,0101,1A93,6103559,06,220100,12,20260310123748,8953$"
7412,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,123,1188.0,-74.435401,4.964709,20260310123813,0732,0101,1A93,6103559,04,12,119452.2,05743:31:15,,,100,220100,,,,20260310123822,8954$"
7413,"+RESP:GTSTT,500700,868574042784996,,21,0,0.0,123,1188.0,-74.435401,4.964709,20260310123831,0732,0101,1A93,6103559,06,210100,12,20260310123837,8955$"
7414,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,123,1188.0,-74.435401,4.964709,20260310123913,0732,0101,1A93,6103559,04,12,119452.2,05743:32:15,,,100,210100,,,,20260310123922,8956$"
7415,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,123,1188.0,-74.435401,4.964709,20260310124013,0732,0101,1A93,6103559,04,12,119452.2,05743:33:15,,,100,210100,,,,20260310124022,8957$"
7416,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,123,1188.0,-74.435401,4.964709,20260310124113,0732,0101,1A93,6103559,04,12,119452.2,05743:34:15,,,100,210100,,,,20260310124122,8958$"
7417,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,123,1188.0,-74.435401,4.964709,20260310124214,0732,0101,1A93,6103559,04,12,119452.2,05743:35:15,,,100,210100,,,,20260310124222,8959$"
7418,"+RESP:GTSTT,500700,868574042784996,,22,0,0.0,123,1188.0,-74.435401,4.964709,20260310124247,0732,0101,1A93,6103559,06,220100,12,20260310124254,895A$"
7419,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,123,1188.0,-74.435401,4.964709,20260310124314,0732,0101,1A93,6103559,04,12,119452.2,05743:36:15,,,100,220100,,,,20260310124322,895B$"
7420,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,6.9,70,1190.6,-74.435352,4.964660,20260310124338,0732,0101,1A93,6103559,04,12,119452.2,05743:36:40,,,100,220100,,,,20260310124343,895C$"
7421,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,4.7,127,1188.9,-74.435270,4.964574,20260310124344,0732,0101,1A93,6103559,04,12,119452.2,05743:36:45,,,100,220100,,,,20260310124349,895D$"
7422,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,9.0,147,1187.0,-74.434843,4.963924,20260310124414,0732,0101,1A93,6103559,04,12,119452.3,05743:37:15,,,100,220100,,,,20260310124422,895E$"
7423,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,6.6,93,1199.5,-74.434234,4.963143,20260310124441,0732,0101,1A93,6103559,04,12,119452.4,05743:37:40,,,100,220100,,,,20260310124446,895F$"
7424,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,17.1,135,1199.9,-74.434070,4.963038,20260310124450,0732,0101,1A93,6103559,04,12,119452.4,05743:37:50,,,100,220100,,,,20260310124455,8960$"
7425,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,16.3,141,1210.2,-74.433650,4.962245,20260310124514,0732,0101,1A93,6103559,04,12,119452.5,05743:38:15,,,100,220100,,,,20260310124522,8961$"
7426,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,3.9,156,1220.6,-74.432427,4.960566,20260310124614,0732,0101,1A93,6103559,04,12,119452.8,05743:39:15,,,100,220100,,,,20260310124622,8962$"
7427,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,40.5,109,1234.3,-74.430486,4.958752,20260310124702,0732,0101,1A93,6103559,04,12,119453.1,05743:40:00,,,100,220100,,,,20260310124707,8963$"
7428,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,28.3,112,1235.3,-74.429491,4.958603,20260310124714,0732,0101,1A93,6103559,04,12,119453.2,05743:40:15,,,100,220100,,,,20260310124722,8964$"
7429,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,23.9,135,1234.7,-74.429387,4.958432,20260310124717,0732,0101,1A93,6103559,04,12,119453.2,05743:40:15,,,100,220100,,,,20260310124722,8965$"
7430,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,20.8,123,1209.5,-74.428815,4.957110,20260310124750,0732,0101,1A93,6108758,04,12,119453.4,05743:40:50,,,100,220100,,,,20260310124755,8966$"
7431,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,23.2,77,1205.2,-74.428432,4.957106,20260310124759,0732,0101,1A93,6108758,04,12,119453.4,05743:41:00,,,100,220100,,,,20260310124804,8967$"
7432,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,30.7,5,1223.1,-74.427526,4.957933,20260310124814,0732,0101,1A93,6103559,04,12,119453.6,05743:41:25,,,100,220100,,,,20260310124828,8968$"
7433,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,31.4,64,1229.6,-74.427195,4.958411,20260310124823,0732,0101,1A93,6103559,04,12,119453.6,05743:41:25,,,100,220100,,,,20260310124828,8969$"
7434,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,40.0,11,1228.8,-74.426690,4.959040,20260310124832,0732,0101,1A93,6103559,04,12,119453.7,05743:41:30,,,100,220100,,,,20260310124837,896A$"
7435,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,29.0,84,1231.3,-74.426323,4.959566,20260310124841,0732,0101,1A93,6103559,04,12,119453.8,05743:41:40,,,100,220100,,,,20260310124846,896B$"
7436,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,25.9,36,1241.2,-74.424720,4.959755,20260310124905,0732,0101,1A93,6103559,04,12,119454.0,05743:42:05,,,100,220100,,,,20260310124910,896C$"
7437,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,30.3,350,1243.5,-74.424740,4.959975,20260310124908,0732,0101,1A93,6103559,04,12,119454.0,05743:42:10,,,100,220100,,,,20260310124913,896D$"
7438,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,30.3,350,1243.5,-74.424740,4.959975,20260310124908,0732,0101,1A93,6103559,04,12,119454.0,05743:42:10,,,100,220100,,,,20260310124913,896D$"
7439,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,30.8,36,1245.5,-74.424644,4.960171,20260310124911,0732,0101,1A93,6108177,04,12,119454.0,05743:42:10,,,100,220100,,,,20260310124916,896E$"
7440,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,34.7,67,1248.9,-74.424417,4.960313,20260310124914,0732,0101,1A93,6108177,04,12,119454.1,05743:42:15,,,100,220100,,,,20260310124922,896F$"
7441,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,33.7,90,1246.8,-74.424165,4.960328,20260310124917,0732,0101,1A93,6108177,04,12,119454.1,05743:42:15,,,100,220100,,,,20260310124922,8970$"
7442,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,30.5,164,1248.2,-74.423691,4.960021,20260310124926,0732,0101,1A93,6108758,04,12,119454.2,05743:42:25,,,100,220100,,,,20260310124931,8971$"
7443,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,35.1,136,1246.3,-74.423511,4.959302,20260310124935,0732,0101,1A93,6108758,04,12,119454.3,05743:42:35,,,100,220100,,,,20260310124940,8972$"
7444,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,35.3,78,1242.2,-74.422151,4.958251,20260310124956,0732,0101,1A93,6108758,04,12,119454.5,05743:42:55,,,100,220100,,,,20260310125001,8973$"
7445,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,30.0,119,1230.6,-74.421457,4.958307,20260310125005,0732,0101,1A93,6108758,04,12,119454.5,05743:43:05,,,100,220100,,,,20260310125010,8974$"
7446,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,26.8,91,1222.5,-74.420848,4.958176,20260310125014,0732,0101,1A93,61067D0,04,12,119454.7,05743:43:25,,,100,220100,,,,20260310125031,8975$"
7447,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,26.2,56,1222.4,-74.419991,4.958390,20260310125026,0732,0101,1A93,61067D0,04,12,119454.7,05743:43:25,,,100,220100,,,,20260310125031,8976$"
7448,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,39.4,85,1223.7,-74.418652,4.959581,20260310125044,0732,0101,1A93,61067D0,04,12,119454.9,05743:43:45,,,100,220100,,,,20260310125049,8977$"
7449,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,35.8,64,1236.8,-74.416054,4.960519,20260310125114,0732,0101,1A93,61067D0,04,12,119455.3,05743:44:20,,,100,220100,,,,20260310125125,8978$"
7450,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,29.2,131,1243.0,-74.415596,4.960441,20260310125120,0732,0101,1A93,61067D0,04,12,119455.3,05743:44:20,,,100,220100,,,,20260310125125,8979$"
7451,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,20.6,121,1275.1,-74.413618,4.959941,20260310125214,0732,0101,1A93,6108758,04,12,119455.5,05743:45:15,,,100,220100,,,,20260310125222,897A$"
7452,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,11.2,146,1275.6,-74.413321,4.959635,20260310125226,0732,0101,1A93,6108758,04,12,119455.6,05743:45:25,,,100,220100,,,,20260310125231,897B$"
7453,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,22.7,122,1272.4,-74.412906,4.958950,20260310125244,0732,0101,1A93,6108758,04,12,119455.7,05743:45:45,,,100,220100,,,,20260310125249,897C$"
7454,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,28.2,75,1272.3,-74.412737,4.959080,20260310125247,0732,0101,1A93,6108758,04,12,119455.7,05743:45:45,,,100,220100,,,,20260310125252,897D$"
7455,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,32.1,80,1282.4,-74.412166,4.959548,20260310125256,0732,0101,1A93,6108758,04,12,119455.8,05743:45:55,,,100,220100,,,,20260310125301,897E$"
7456,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,3.6,82,1290.3,-74.411152,4.959445,20260310125314,0732,0101,1A93,6108758,04,12,119455.9,05743:46:15,,,100,220100,,,,20260310125322,897F$"
7457,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,19.8,58,1300.3,-74.410733,4.959636,20260310125326,0732,0101,1A93,6108177,04,12,119455.9,05743:46:25,,,100,220100,,,,20260310125331,8980$"
7458,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,24.9,93,1323.5,-74.409152,4.960341,20260310125350,0732,0101,1A93,6108177,04,12,119456.1,05743:46:50,,,100,220100,,,,20260310125355,8981$"
7459,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,24.3,89,1338.8,-74.407784,4.960042,20260310125414,0732,0101,1A93,6108758,04,12,119456.3,05743:47:15,,,100,220100,,,,20260310125422,8982$"
7460,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,35.7,67,1340.1,-74.406818,4.960217,20260310125432,0732,0101,1A93,6108177,04,12,119456.4,05743:47:30,,,100,220100,,,,20260310125437,8983$"
7461,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,16.1,22,1364.1,-74.405205,4.961893,20260310125459,0732,0101,1A93,6108177,04,12,119456.7,05743:48:00,,,100,220100,,,,20260310125504,8984$"
7462,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,14.9,0,1374.6,-74.405168,4.962283,20260310125514,0732,0101,1A93,6103559,04,12,119456.7,05743:48:15,,,100,220100,,,,20260310125522,8985$"
7463,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,5.1,46,1383.8,-74.404795,4.963157,20260310125538,0732,0101,1A93,6103559,04,12,119456.8,05743:48:40,,,100,220100,,,,20260310125543,8986$"
7464,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,18.4,359,1395.8,-74.404455,4.963858,20260310125602,0732,0101,1A93,6103559,04,12,119456.9,05743:49:00,,,100,220100,,,,20260310125607,8987$"
7465,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,29.1,46,1400.4,-74.404511,4.964451,20260310125614,0732,0101,1A93,6103559,04,12,119457.0,05743:49:15,,,100,220100,,,,20260310125622,8988$"
7466,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,27.4,355,1402.4,-74.404255,4.965045,20260310125623,0732,0101,1A93,6103559,04,12,119457.1,05743:49:25,,,100,220100,,,,20260310125628,8989$"
7467,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,356,1405.9,-74.404408,4.965881,20260310125714,0732,0101,1A93,6103559,04,12,119457.2,05743:50:15,,,100,220100,,,,20260310125722,898A$"
7468,"+RESP:GTSTT,500700,868574042784996,,21,0,0.0,356,1405.9,-74.404408,4.965881,20260310125723,0732,0101,1A93,6108177,06,210100,12,20260310125731,898B$"
7469,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,356,1405.9,-74.404408,4.965881,20260310125814,0732,0101,1A93,6103559,04,12,119457.2,05743:51:15,,,100,210100,,,,20260310125822,898C$"
7470,"+RESP:GTSTT,500700,868574042784996,,22,0,0.0,356,1405.9,-74.404408,4.965881,20260310125856,0732,0101,1A93,6108177,06,220100,12,20260310125902,898D$"
7471,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,356,1409.2,-74.404428,4.965911,20260310125914,0732,0101,1A93,6108177,04,12,119457.2,05743:52:15,,,100,220100,,,,20260310125922,898E$"
7472,"+RESP:GTSTT,500700,868574042784996,,21,0,0.0,356,1409.2,-74.404428,4.965911,20260310125944,0732,0101,1A93,6108177,06,210100,12,20260310125951,898F$"
7473,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,356,1409.2,-74.404428,4.965911,20260310130014,0732,0101,1A93,6108177,04,12,119457.2,05743:53:15,,,100,210100,,,,20260310130022,8990$"
7474,"+RESP:GTSTT,500700,868574042784996,,22,0,0.0,356,1409.2,-74.404428,4.965911,20260310130026,0732,0101,1A93,6108177,06,220100,12,20260310130033,8991$"
7475,"+RESP:GTSTT,500700,868574042784996,,21,0,0.0,356,1409.2,-74.404428,4.965911,20260310130056,0732,0101,1A93,6103559,06,210100,12,20260310130103,8992$"
7476,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,356,1409.2,-74.404428,4.965911,20260310130114,0732,0101,1A93,6103559,04,12,119457.2,05743:54:15,,,100,210100,,,,20260310130122,8993$"
7477,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,356,1409.2,-74.404428,4.965911,20260310130214,0732,0101,1A93,6103559,04,12,119457.2,05743:55:15,,,100,210100,,,,20260310130222,8994$"
7478,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,356,1409.2,-74.404428,4.965911,20260310130314,0732,0101,1A93,6103559,04,12,119457.2,05743:56:15,,,100,210100,,,,20260310130322,8995$"
7479,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,356,1409.2,-74.404428,4.965911,20260310130414,0732,0101,1A93,6103559,04,12,119457.2,05743:57:15,,,100,210100,,,,20260310130422,8996$"
7480,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,356,1409.2,-74.404428,4.965911,20260310130514,0732,0101,1A93,6103559,04,12,119457.2,05743:58:15,,,100,210100,,,,20260310130522,8997$"
7481,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,356,1409.2,-74.404428,4.965911,20260310130614,0732,0101,1A93,6103559,04,12,119457.2,05743:59:15,,,100,210100,,,,20260310130622,8998$"
7482,"+RESP:GTSTT,500700,868574042784996,,22,0,0.0,356,1409.2,-74.404428,4.965911,20260310130620,0732,0101,1A93,6103559,06,220000,12,20260310130626,8999$"
7483,"+RESP:GTIGF,500700,868574042784996,,7872,0,0.0,356,1409.2,-74.404428,4.965911,20260310130620,0732,0101,1A93,6103559,06,120000,12,05743:59:27,119457.2,20260310130628,899A$"
7484,"+RESP:GTSTT,500700,868574042784996,,12,0,0.0,356,1409.2,-74.404428,4.965911,20260310130620,0732,0101,1A93,6103559,06,120000,12,20260310130628,899B$"
7485,"+RESP:GTIGL,500700,868574042784996,,,00,1,1,0.0,356,1409.2,-74.404428,4.965911,20260310130625,0732,0101,1A93,6103559,04,12,119457.2,20260310130630,899C$"
7486,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,356,1409.2,-74.404428,4.965911,20260310130625,0732,0101,1A93,6103559,04,12,119457.2,05743:59:27,,,100,120000,,,,20260310130630,899D$"
7487,"+RESP:GTSTT,500700,868574042784996,,11,0,0.0,356,1409.2,-74.404428,4.965911,20260310130625,0732,0101,1A93,6108177,06,110000,12,20260310130702,899E$"
7488,"+RESP:GTIGN,500700,868574042784996,,719,0,0.0,356,1409.2,-74.404428,4.965911,20260310130625,0732,0101,1A93,6108B2F,06,220100,12,05743:59:27,119457.2,20260310131827,899F$"
7489,"+RESP:GTSTT,500700,868574042784996,,22,0,0.0,356,1409.2,-74.404428,4.965911,20260310130625,0732,0101,1A93,6108B2F,06,220100,12,20260310131827,89A0$"
